| RAM[0] | RAM[1] | RAM[2] | RAM[3] |
|     17 |      3 |      5 |      2 |
|   1000 |      3 |    333 |      1 |
|  10000 |   3782 |      2 |   2436 |
|   1216 |  12412 |      0 |   1216 |
|   7399 |   9907 |      0 |   7399 |
|  15173 |  23984 |      0 |  15173 |
|  13695 |  20363 |      0 |  13695 |
|   6816 |  10167 |      0 |   6816 |
|   8650 |  25315 |      0 |   8650 |
|   9424 |  24663 |      0 |   9424 |
|  10030 |  26295 |      0 |  10030 |
|   8909 |  31105 |      0 |   8909 |
|  12167 |  25161 |      0 |  12167 |
|   8461 |   8461 |      1 |      0 |
|   2275 |   2275 |      1 |      0 |
|   5198 |   5198 |      1 |      0 |
|  15082 |  15082 |      1 |      0 |
|   1701 |   1701 |      1 |      0 |
|  27457 |  27457 |      1 |      0 |
|  20959 |  20959 |      1 |      0 |
|   3934 |   3934 |      1 |      0 |
|  20676 |  20676 |      1 |      0 |
|  26360 |  26360 |      1 |      0 |
|  25563 |   7945 |      3 |   1728 |
|  17034 |  12587 |      1 |   4447 |
|  28144 |  25438 |      1 |   2706 |
|  28950 |  21826 |      1 |   7124 |
|   8561 |   6873 |      1 |   1688 |
|   6754 |    679 |      9 |    643 |
|   4442 |   1985 |      2 |    472 |
|  20795 |   4262 |      4 |   3747 |
|   8757 |   6318 |      1 |   2439 |
|  29911 |   7675 |      3 |   6886 |
|  10670 |   4656 |      2 |   1358 |
|   7722 |    333 |     23 |     63 |
|  25346 |  12776 |      1 |  12570 |
|  28246 |  20989 |      1 |   7257 |
|  24153 |  17724 |      1 |   6429 |
|   8852 |    428 |     20 |    292 |
|   7585 |   1693 |      4 |    813 |
|  12484 |   1072 |     11 |    692 |
|   4659 |    714 |      6 |    375 |
|   8415 |   5098 |      1 |   3317 |
|  32548 |   2748 |     11 |   2320 |
|  24886 |  22076 |      1 |   2810 |
|  26746 |  19275 |      1 |   7471 |
|   3310 |   1245 |      2 |    820 |
|  24636 |   4395 |      5 |   2661 |
|  11669 |  10461 |      1 |   1208 |
|   1408 |    422 |      3 |    142 |
|  20569 |  12745 |      1 |   7824 |
|  22245 |   7500 |      2 |   7245 |
|   7249 |   3383 |      2 |    483 |
|  21520 |  17924 |      1 |   3596 |
|   1242 |   1220 |      1 |     22 |
|  22967 |  14055 |      1 |   8912 |
|  18416 |   8023 |      2 |   2370 |
|   4126 |   3280 |      1 |    846 |
|  22643 |  20995 |      1 |   1648 |
|   8443 |   7104 |      1 |   1339 |
|  30729 |  17474 |      1 |  13255 |
|  19631 |   8922 |      2 |   1787 |
|  19733 |  19111 |      1 |    622 |
|  20967 |  16122 |      1 |   4845 |
|  31488 |   7143 |      4 |   2916 |
|    467 |    427 |      1 |     40 |
|  27979 |  12299 |      2 |   3381 |
|  28155 |  24639 |      1 |   3516 |
|  26047 |   8988 |      2 |   8071 |
|  20341 |  16114 |      1 |   4227 |
|  11720 |   2949 |      3 |   2873 |
|  27797 |  10304 |      2 |   7189 |
|   5537 |    188 |     29 |     85 |
|  15392 |   4477 |      3 |   1961 |
|   9936 |   3241 |      3 |    213 |
|    617 |     96 |      6 |     41 |
|  29674 |  28146 |      1 |   1528 |
|   7531 |   2771 |      2 |   1989 |
|   9905 |   5881 |      1 |   4024 |
|  15288 |   6715 |      2 |   1858 |
|   3254 |    826 |      3 |    776 |
|  22587 |  21840 |      1 |    747 |
|  19260 |  13262 |      1 |   5998 |
|  18168 |  14940 |      1 |   3228 |
|  30792 |   1397 |     22 |     58 |
|  29863 |  14749 |      2 |    365 |
|   5479 |   2224 |      2 |   1031 |
|  27852 |  22010 |      1 |   5842 |
|  26522 |   8979 |      2 |   8564 |
|  24056 |  20370 |      1 |   3686 |
|  11720 |   8279 |      1 |   3441 |
|    320 |    227 |      1 |     93 |
|  12856 |   8627 |      1 |   4229 |
|  29398 |  22679 |      1 |   6719 |
|  30284 |   1579 |     19 |    283 |
|  23614 |  12926 |      1 |  10688 |
|   4373 |   3513 |      1 |    860 |
|   2786 |   1738 |      1 |   1048 |
|  14723 |   2357 |      6 |    581 |
|  14640 |   3945 |      3 |   2805 |
|   9812 |   3971 |      2 |   1870 |
|  12772 |   6329 |      2 |    114 |
|  12584 |  11991 |      1 |    593 |
|   3327 |   2000 |      1 |   1327 |
|  18982 |   6720 |      2 |   5542 |
|  26684 |  10432 |      2 |   5820 |
|  17741 |  13177 |      1 |   4564 |
|  32453 |  11776 |      2 |   8901 |
|    828 |     48 |     17 |     12 |
|  16135 |   3057 |      5 |    850 |
|   8500 |   4387 |      1 |   4113 |
|   6738 |   3330 |      2 |     78 |
|  21793 |   3354 |      6 |   1669 |
|  22782 |  12440 |      1 |  10342 |
|  32518 |  11913 |      2 |   8692 |
|   9952 |   6949 |      1 |   3003 |
|  19487 |   6079 |      3 |   1250 |
|  10685 |   5459 |      1 |   5226 |
|  20525 |  14298 |      1 |   6227 |
|  26832 |   5220 |      5 |    732 |
|  11593 |   9515 |      1 |   2078 |
|  24485 |  14600 |      1 |   9885 |
|   6883 |   5827 |      1 |   1056 |
|  18750 |   6691 |      2 |   5368 |
|   1030 |    189 |      5 |     85 |
|   4958 |   1808 |      2 |   1342 |
